Date,Description,Amount,Category
2023-07-19,"CINEPLEX 8030 WEB QPS, 416-323-6600",25.21,Entertainment
2023-07-17,"BROOK'S NF #3811, EDMONTON",67.71,Grocery
2023-07-17,VF OUTDOOR CANADA CO,198.44,Sports
2023-07-16,"COSMIC PIZZA & DONAIR, EDMONTON",7.55,Dining
2023-07-16,"Busbud, Montreal",153.96,Transportation
2023-07-16,"JUGO JUICE MARDA LOOP, CALGARY",11.29,Dining
2023-07-16,"BROOKFIELD YMCA AT SET, CALGARY",11.25,Entertainment
2023-07-16,"KINJO SUSHI AND GRILL MIL, CALGARY",23.73,Dining
2023-07-15,"SKYLINE LUGE CALGARY, CALGARY",120.0,Entertainment
2023-07-15,"GREY EAGLE CASINO - THE B, TSUU T'INA",19.94,Entertainment
2023-07-15,A MEDIUM CORPORATION Foreign Currency,6.78,Subscription
2023-07-15,"KINJO SUSHI GRILL WESTHI, CALGARY",14.91,Dining
2023-07-15,"KINJO SUSHI GRILL WESTHI, CALGARY",2.36,Dining
2023-07-14,"UBER CANADA/UBERTRIP, TORONTO",19.86,Transportation
2023-07-14,"GREY EAGLE CASINO - THE B, TSUU T'INA",34.64,Entertainment
2023-07-14,"CALGARY TRANSIT, 403-268-1969",3.6,Transportation
2023-07-14,"UBER CANADA/UBERTRIP, TORONTO",14.09,Transportation
2023-07-13,"D SPOT DESSERT CAFE CALGA, CALGARY",29.82,Dining
2023-07-13,"CALGARY TRANSIT, 403-268-1969",3.6,Transportation
2023-07-13,"CALGARY TRANSIT, 403-268-1969",3.6,Transportation
2023-07-12,"MCDONALD'S #9158, CALGARY",4.19,Dining
2023-07-12,"MCDONALD'S #9158, CALGARY",14.35,Dining
2023-07-12,"DOMINOS PIZZA #10104, CALGARY",14.69,Dining
2023-07-12,"CALGARY TRANSIT, 403-268-1969",3.6,Transportation
2023-07-12,"UBER CANADA/UBERTRIP, TORONTO",21.5,Transportation
2023-07-12,"7 ELEVEN STORE #22470, CALGARY",19.43,Dining
2023-07-12,"SQ *SMOOTHIE SHOPPE #2, Mission",10.5,Dining
2023-07-11,"A&W #1268, CALGARY",14.78,Dining
2023-07-11,"UBER CANADA/UBERTRIP, TORONTO",11.12,Transportation
2023-07-11,"FALAFEL KING, CALGARY",17.24,Dining
2023-07-11,"PARK ADMISSIONS, CALGARY",23.0,Entertainment
2023-07-11,"CALGARY TRANSIT, 403-268-1969",3.6,Transportation
2023-07-10,"SHOPPERS DRUG MART #24, CALGARY",10.27,Grocery
2023-07-10,"STARBUCKS COFFEE #0453, CALGARY",6.25,Dining
2023-07-10,"UBER CANADA/UBERTRIP, TORONTO",23.37,Transportation
2023-07-10,"MCDONALD'S #14917, CALGARY",4.19,Dining
2023-07-10,"RIDER EXPRESS/RIDER EX, REGINA",39.99,Transportation
2023-07-10,"CALGARY TRANSIT, 403-268-1969",3.6,Transportation
2023-07-10,"UBER CANADA/UBERTRIP, TORONTO",22.86,Transportation
2023-07-10,"SQ *ACTIVATE GAMES CALGAR, Calgary",29.4,Entertainment
2023-07-09,"MCDONALD'S #9158, CALGARY",8.38,Dining
2023-07-09,GOOGLE*GOOGLE STORAGE,4.19,Subscription
2023-07-09,"UBER CANADA/UBERTRIP, TORONTO",23.95,Transportation
2023-07-09,"UBER CANADA/UBERTRIP, TORONTO",22.7,Transportation
2023-07-09,"KINJO SUSHI AND GRILL MIL, CALGARY",27.46,Dining
2023-07-08,"NORTH AMERICAN MIDWAY ENT, BRANDON",20.0,Entertainment
2023-07-08,UBER* TRIP,26.43,Transportation
2023-07-08,"FRESHSLICE PIZZA UNION, CALGARY",3.41,Dining
2023-07-08,UBER* TRIP,29.91,Transportation
