#314 SPORT CHEK, EDMONTON
22585 MACS CONV. STORES, EDMONTON
3642MONTANAS #3642, JASPER
479WINNERS, EDMONTON
A&W #1360, EDSON
A&W #1566, EDMONTON
A&W #1715, EDMONTON
ALBERTAAVIATIONMUSEUM., EDMONTON
ALDO #1070, EDMONTON
ALLSPORTS & CYCLE, EDMONTON
AMZN Mktp CA*1M3NE5W50, WWW.AMAZON.CA
AMZN Mktp CA*1M4MT0WB1, WWW.AMAZON.CA
AMZN Mktp CA*2D8T17120, WWW.AMAZON.CA
AMZN Mktp CA*E41CQ32P3, WWW.AMAZON.CA
AMZN Mktp CA*H02YX1QB2, WWW.AMAZON.CA
ANDAAZ INDIAN CUISINE, JASPER
ANNUAL FEE
APPLE.COM/CA, TORONTO
AROUND THE CORNER, JASPER
ASIAN FLAME, EDMONTON
Amazon.ca Prime Member, amazon.ca/pri
Amazon.ca*1M5AS98Q2, AMAZON.CA
Amazon.ca*2D8MQ7O70, AMAZON.CA
Amazon.ca*JF9ZB5RQ3, AMAZON.CA
Amazon.ca*V91RI30N3, AMAZON.CA
BAIJIU, EDMONTON
BELL MOBILITY, VERDUN
BEST BUY #33, EDMONTON
BIRD RIDES CANADA
BOSTON PIZZA # 153, EDMONTON
BOSTON PIZZA # 179, EDMONTON
BOSTON PIZZA #106, DRUMHELLER
BOURBON STREET GRILL, EDMONTON
BROOK'S NF #3811, EDMONTON
Bonnie Doon Bowling Lanes, EDMONTON
Busbud, Montreal
CALGARY TOWER FACILITI, CALGARY
CDN TIRE STORE #00614, EDMONTON
CENGAGE LEARNING CANADA, SCARBOROUGH
CENTRAL SOCIAL HALL, EDMONTON
CHEFSPLATE
CHIANTI CAFE & RESTAURANT, EDMONTON
CHOCORRANT PATISSERY, EDMONTON
CHOP SUTTON EDM-110, EDMONTON
CHOSUN KOREAN RESTAURA, EDMONTON
CINEPLEX 3144 QPS, EDMONTON
CINEPLEX 8030 WEB QPS, 416-323-6600
COCO FRESH TEA & JUICE, CALGARY
COSMIC PIZZA & DONAIR, EDMONTON
Credo Coffee, Edmonton
DD/DOORDASHASIANFLAME
DD/DOORDASHBARBURRITO
DENNY'S 03-076 EDMONTO, EDMONTON
DEWEY'S - STUDENTS' UNION, EDMONTON
DOLLARAMA # 473, EDMONTON
DOLLARAMA # 498, EDMONTON
DOLLARAMA #1255, EDMONTON
DOMINOS 10116, 780-496-9924
DOMINOS 10116, EDMONTON
DONAIR & POUTINE HOUSE, EDMONTON
Decathlon Canada Inc., Montreal
EDMONTON HERITAGE FESTIVA, EDMONTON
EDO JAPAN (HUB MALL), EDMONTON
EL BESO RESTAURANT, EDMONTON
EVENTBRITE/ALBERTAINTE, SAINT JOHN
EVENTBRITE/BUSINESSUNU, SAINT JOHN
EVENTBRITE/ENTREPRENEU, SAINT JOHN
EVENTBRITE/ICACONSULTI, SAINT JOHN
EVENTBRITE/JANUARYMONT, SAINT JOHN
EVENTBRITE/JDCWESTALUM, SAINT JOHN
EVENTBRITE/LEADERSOFTO, SAINT JOHN
EVENTBRITE/MACEWANCOLL, SAINT JOHN
EVENTBRITE/SUSTAININGM, SAINT JOHN
EVENTBRITE/TALKTECHWIT, SAINT JOHN
EVENTBRITE/TEDXUALBERT, SAINT JOHN
EVENTBRITE/UAHRMAPANEL, SAINT JOHN
EVENTBRITE/ZINDAGINAMI, SAINT JOHN
EVEREST OUTDOOR STORES, JASPER
FIDO Mobile ******4796, 888-481-3436
FRESON BROS #17, EDMONTON
FRUITICANA, EDMONTON
GONG CHA EDMONTON, EDMONTON
GOOGLE*GOOGLE STORAGE
GOOGLE*GOOGLE STORAGE, Halifax
GOOGLE*GOOGLE STORAGE, INTERNET
H & M CA #036 WEST EDM, EDMONTON
H & W PRODUCE, EDMONTON
H&M CA#045 - SOUTHGATE, EDMONTON
H-MART U OF A, EDMONTON
HUDSONS WHYTE, EDMONTON
IC* INSTACART
IC* INSTACART, HALIFAX MID-H
IKEA EDMONTON, EDMONTON
IMAGINUS CANADA LIMITED, TORONTO
IN *LIVE IT UP LIFESTYLE, 780-7327200
JASPER BREWING COMPANY, JASPER
JERUSALEM SHAWARMA, EDMONTON
JULIO'S BARRIO, EDMONTON
LA CARRAIA GELATERIA, EDMONTON
LANDMARK 8 CITY CENTRE, EDMONTON
LASER CITY EDMONTON, EDMONTON
LIM*RIDE COST
LONG & MCQUADE, EDMONTON WHYT
MADE BY MARCUS (EDMONTON), EDMONTON
MARMOT BASIN LOCKER RE, JASPER
MARSHALLS 788, EDMONTON
MCDONALD'S #23193, EDSON
MCGRAW-HILL RYERSON, 800-565-5758
MENCHIE'S FROZEN YOGUR, EDMONTON
MIKES FAMOUS (ICE CREAM), EDMONTON
MOUNTAIN WAREHOUSE, EDMONTON
MOXIES BAR & GRILL - KING, EDMONTON
MR. SUB #130, CALGARY
MUTTART #1, EDMONTON
MUTTART #2, EDMONTON
MYHRE, CALGARY
Mogouyan Hand Pulled N, Edmonton
NAMASTE INDIA, EDMONTON
NAMSAN KOREAN CUISINE, CALGARY
NEW EVEREST, EDMONTON
NEW YORK FRIES, EDMONTON
NOFRILLS BRYAN&ALLISON, EDMONTON
OLD NAVY CANADA 3463, EDMONTON
OPA OF GREECE #22, EDMONTON
PARK ADMISSIONS, CALGARY
PAYPAL *LIVINGWORKS, 4029357733
POPEYES #13700, EDMONTON
PRESS#D SANDWICH SHOP, EDMONTON
PRIME TAX, EDMONTON
REAL CANADIAN SPRST154, EDMONTON
RIDER EXPRESS/RIDER EX, REGINA
ROSSO PIZZERIA, EDMONTON
ROYAL AB MUSEUM, EDMONTON
SAFEWAY #8812, CALGARY
SAFEWAY #8886, EDMONTON
SAFEWAY #8895, EDMONTON
SAVE ON FOODS #6613, EDMONTON
SAVE ON FOODS #6635, CANMORE
SAVE ON FOODS #6662, EDMONTON
SAVOY`S EXPRESS, EDMONTON
SEOUL FRIED CHICKEN, EDMONTON
SHAWARMA HOUSE, CALGARY
SHOPPERS DRUG MART #03, EDMONTON
SHOPPERSDRUGMART0312, EDMONTON
SIR WINSTONS FISH & CHIPS, EDMONTON
SKI MARMOT BASIN/CAPTU, JASPER
SMITTY'S FAMILY RESTAU, JASPER
SOURCE 58920, CALGARY
SP RUSSELL JEWELLERS, RICHMOND
SP* DRIVE-REPMEDIA-AXX, CALGARY
SPIN SCOOTER, OTTAWA
SQ *ACTIVATE EDMONTON SOU, Edmonton
SQ *BUSINESS STUDENTS' AS, 8774174551
SQ *COCO'S CAFE #1939721, JASPER
SQ *EARLS CAMPUS, Edmonton
SQ *EDMONTON EXPO TICKETI, Edmonton
SQ *GAO BADMINTON TAO / S, Calgary
SQ *HANJAN, Edmonton
SQ *KANATA TRADING POST, Calgary
SQ *LISTER HALL STUDENTS', EDMONTON
SQ *MADE BY MARCUS WHYTE, Edmonton
SQ *MIDWAY MUSIC HALL GOS, Edmonton
SQ *SUSTAIN SU BIKE LIBRA, Edmonton
SQ *WHITE RABBIT ICE CREA, Edmonton
SQ *YELO?D ICE CREAM AND, EDMONTON
SS CALGARY 6TH AVENUE, CALGARY
STAPLES #437, EDMONTON
STAPLES.CA, MISSISSAUGA
STARBUCKS 04630, EDMONTON
STEEL WHEELS PIZZA, EDMONTON
STJOHNAMBULANCE, EDMONTON
STUDENTS UNION - SUBPRINT, EDMONTON
Subway 16903, Jasper
Subway 22085, Edmonton
Subway 33432, Edmonton
Subway 51161, Edmonton
TASTE OF EDMONTON, EDMONTON
TEAPSY - HUBMALL, Edmonton
THE ALLEY BREWERY, EDMONTON
THE PINT OFF WHYTE, EDMONTON
THE PINT, EDMONTON
THE SHERLOCK HOLMES PUB, EDMONTON
THE SHERLOCK HOLMES RESTA, EDMONTON
THE SUGAR BOWL, EDMONTON
TIM HORTONS #1335, EDMONTON
TIM HORTONS #1570, EDSON
TIM HORTONS #2665, EDMONTON
TIM HORTONS #3405, CALGARY
TMCANADA *RESALE
TODOIST
TODOIST, HTTPSTODOIST.
TRITON, NORTH YORK
U OF A ONECARD, 780-492-3572
UALBERTA BOOKSTORE, EDMONTON
UBER CANADA/UBEREATS
UBER* EATS
UOFA BOOKSTORE, EDMONTON
UOFA BUSINESS CAREER SERV, EDMONTON
UOFA KSR PAYMENTS, EDMONTON
UOFA REGISTRAR'S OFFICE, EDMONTON
UOFA RESIDENCE SERVICES O, EDMONTON
VARSITY DRUG 7018075, EDMONTON
VEGAS DONAIR & POUTINE, EDMONTON
WAL*MART CANADA INC, MISSISSAUGA
WAL-MART STORE#1148, EDMONTON
WAL-MART SUPERCENTER#1145, EDMONTON
WAL-MART SUPERCENTER#1149, EDMONTON
WAL-MART SUPERCENTER#3026, EDMONTON
WAL-MART SUPERCENTER#3181, CAMROSE
WEM MARINE LIFE, EDMONTON
WILD MOUNTAIN JASPER, JASPER
WWW.F1.COM
WWW.F1.COM, INTERNET
Y-NOT INDIAN KITCHEN & BA, EDMONTON
ZARA WEM #3381, EDMONTON
