Date,Description,Debit 
08.06.23,"Amazon.ca Prime Member, amazon.ca/pri",5.24
08.06.23,"SQ *YELO?D ICE CREAM AND, EDMONTON",7.88
05.06.23,"STARBUCKS 04630, EDMONTON",6.98
03.06.23,"Subway 33432, Edmonton",19.06
03.06.23,"CINEPLEX 8030 WEB QPS, 416-323-6600",21.01
03.06.23,"BROOK'S NF #3811, EDMONTON",64.68
02.06.23,"HUDSONS WHYTE, EDMONTON",24.97
02.06.23,"LASER CITY EDMONTON, EDMONTON",20.98
02.06.23,"Subway 33432, Edmonton",18.05
02.06.23,"SQ *ACTIVATE EDMONTON SOU, Edmonton",29.4
01.06.23,"JERUSALEM SHAWARMA, EDMONTON",21.67
01.06.23,"REAL CANADIAN SPRST154, EDMONTON",4.54
31.05.23,"Subway 33432, Edmonton",18.68
28.05.23,"BROOK'S NF #3811, EDMONTON",85.58
26.05.23,"STEEL WHEELS PIZZA, EDMONTON",12.6
26.05.23,"THE SHERLOCK HOLMES PUB, EDMONTON",22.3
23.05.23,"BAIJIU, EDMONTON",15.99
22.05.23,"JERUSALEM SHAWARMA, EDMONTON",28.91
22.05.23,"SQ *YELO?D ICE CREAM AND, EDMONTON",5.78
21.05.23,"CHOCORRANT PATISSERY, EDMONTON",5.24
21.05.23,"Credo Coffee, Edmonton",6
21.05.23,"GONG CHA EDMONTON, EDMONTON",5.76
21.05.23,"JERUSALEM SHAWARMA, EDMONTON",24.09
21.05.23,"JERUSALEM SHAWARMA, EDMONTON",3.69
20.05.23,"WAL-MART SUPERCENTER#1145, EDMONTON",119.21
19.05.23,"CHOP SUTTON EDM-110, EDMONTON",27.77
18.05.23,"EL BESO RESTAURANT, EDMONTON",10.38
18.05.23,"Subway 22085, Edmonton",19.66
16.05.23,"U OF A ONECARD, 780-492-3572",20
15.05.23,"TIM HORTONS #1335, EDMONTON",2.61
11.05.23,"Y-NOT INDIAN KITCHEN & BA, EDMONTON",16.78
11.05.23,"BROOK'S NF #3811, EDMONTON",77.75
09.05.23,GOOGLE*GOOGLE STORAGE,4.19
09.05.23,"AMZN Mktp CA*E41CQ32P3, WWW.AMAZON.CA",27.29
08.05.23,"Decathlon Canada Inc., Montreal",207.9
08.05.23,"Amazon.ca Prime Member, amazon.ca/pri",5.24
07.05.23,"BELL MOBILITY, VERDUN",76.89
06.05.23,"SQ *MADE BY MARCUS WHYTE, Edmonton",7
06.05.23,"DONAIR & POUTINE HOUSE, EDMONTON",17.49
05.05.23,"UOFA KSR PAYMENTS, EDMONTON",340.2
05.05.23,"TIM HORTONS #1335, EDMONTON",4.19
05.05.23,"POPEYES #13700, EDMONTON",15.74
